Rangers v East Stirlingshire; ; 18-08-2012; 16:00;18-08-2012; 18:30;;;
Berwick Rangers v Rangers; ; 26-08-2012; 16:00;26-08-2012; 18:30;;;
Rangers v Elgin City; ; 02-09-2012; 17:30;02-09-2012; 19:30;;;
Annan Athletic v Rangers; ; 15-09-2012; 16:00;15-09-2012; 18:30;;;
Rangers v Montrose; ; 22-09-2012; 16:00;22-09-2012; 18:30;;;
Stirling Albion v Rangers; ; 06-10-2012; 16:00;06-10-2012; 18:30;;;
Rangers v Queen's Park; ; 20-10-2012; 16:00;20-10-2012; 18:30;;;
Clyde v Rangers; ; 27-10-2012; 16:00;27-10-2012; 18:30;;;
Rangers v Peterhead; ; 10-11-2012; 16:00;10-11-2012; 18:30;;;
East Stirlingshire v Rangers; ; 17-11-2012; 16:00;17-11-2012; 18:30;;;
Elgin City v Rangers; ; 24-11-2012; 16:00;24-11-2012; 18:30;;;
Rangers v Annan Athletic; ; 01-12-2012; 16:00;01-12-2012; 18:30;;;
Rangers v Stirling Albion; ; 08-12-2012; 16:00;08-12-2012; 18:30;;;
Montrose v Rangers; ; 15-12-2012; 16:00;15-12-2012; 18:30;;;
Rangers v Clyde; ; 26-12-2012; 16:00;26-12-2012; 18:30;;;
Queen's Park v Rangers; ; 29-12-2012; 16:00;29-12-2012; 18:30;;;
Annan Athletic v Rangers; ; 02-01-2013; 16:00;02-01-2013; 18:30;;;
Rangers v Elgin City; ; 05-01-2013; 16:00;05-01-2013; 18:30;;;
Rangers v Berwick Rangers; ; 12-01-2013; 16:00;12-01-2013; 18:30;;;
Peterhead v Rangers; ; 19-01-2013; 16:00;19-01-2013; 18:30;;;
Rangers v Montrose; ; 26-01-2013; 16:00;26-01-2013; 18:30;;;
Stirling Albion v Rangers; ; 02-02-2013; 16:00;02-02-2013; 18:30;;;
Rangers v Queen's Park; ; 09-02-2013; 16:00;09-02-2013; 18:30;;;
Clyde v Rangers; ; 16-02-2013; 16:00;16-02-2013; 18:30;;;
Berwick Rangers v Rangers; ; 23-02-2013; 16:00;23-02-2013; 18:30;;;
Rangers v East Stirlingshire; ; 09-03-2013; 16:00;02-03-2013; 18:30;;;
Rangers v Annan Athletic; ; 09-03-2013; 16:00;09-03-2013; 18:30;;;
Elgin City v Rangers; ; 16-03-2013; 16:00;16-03-2013; 18:30;;;
Rangers v Stirling Albion; ; 23-03-2013; 16:00;23-03-2013; 18:30;;;
Montrose v Rangers; ; 30-03-2013; 16:00;30-03-2013; 18:30;;;
Queen's Park v Rangers; ; 06-04-2013; 16:00;06-04-2013; 18:30;;;
Rangers v Clyde; ; 13-04-2013; 16:00;13-04-2013; 18:30;;;
Rangers v Peterhead; ; 20-04-2013; 16:00;20-04-2013; 18:30;;;
East Stirlingshire v Rangers; ; 27-04-2013; 16:00;27-04-2013; 18:30;;;
Rangers v Berwick Rangers; ; 04-05-2013; 16:00;04-05-2013; 18:30;;;
